"","GSM1301444","GSM1301445","GSM1301446","GSM1301447","GSM1301448","GSM1301449","GSM1301450","GSM1301451","GSM1301452","GSM1301453","GSM1301454","GSM1301455","GSM1301456","GSM1301457","GSM1301458","GSM1301459","GSM1301460","GSM1301461","GSM1301462","GSM1301463","GSM1301464","GSM1301465","GSM1301466","GSM1301467","GSM1301468","GSM1301469","GSM1301470","GSM1301471","GSM1301472","GSM1301473","GSM1301474","GSM1301475","GSM1301476","GSM1301477","GSM1301478","GSM1301479"
"SEC14L5",6.1479363,3.003927,5.4674487,3.5913286,6.4194875,2.608615,6.1862164,4.9226336,5.3258348,4.9402485,5.1131473,6.9037123,2.6332824,7.5269103,6.9986753,5.043539,3.9789047,3.9902768,5.854262,6.526307,7.0975184,6.6325192,6.340863,5.0841284,6.9656696,8.465452,6.2684827,5.444694,7.0087724,7.389597,6.1914515,5.526082,6.4619956,6.463812,5.036923,5.949301
"CCNA1",4.9538894,5.2997932,5.731071,3.8412166,4.375004,4.4885283,5.5450525,4.979062,6.9138455,6.7329764,6.2519445,6.135862,8.567599,3.356114,4.0522885,9.764501,3.2799284,6.3232555,5.7759495,7.685473,8.422105,7.6089463,9.559692,6.01108,7.7408185,5.494003,6.9670253,6.7872343,6.453795,6.544332,6.2708006,8.706094,6.7059517,7.722566,6.6306868,7.382303
"PDE2A",7.20571025,8.54270885,8.1288748,8.43412965,7.7828593,9.73596175,6.6156365,9.052179,9.9281894,8.0877922,11.12576075,7.8862235,10.416032,8.02044715,6.95647135,9.9905125,8.25199055,8.89612885,9.2188722,9.5494815,9.9009405,9.7977033,10.9688335,9.78133985,9.8083525,11.71283,9.91860715,9.033935,9.542114,8.93263925,10.394063,10.324704,9.20748225,9.2294864,8.1087505,9.9504515
"AQP1",12.7422465,13.3316735,13.134855,13.4179435,12.3057385,13.94241,13.7963175,14.2049685,14.309821,14.839715,12.710334,12.674889,8.39465515,12.28867625,12.1103415,13.717574,14.0168145,14.907446,13.7627895,14.4983385,14.8211435,14.649457,14.9162115,14.5498865,14.057564,16.2202705,14.255995,14.5008975,13.759172,13.5089875,14.41694725,16.1486275,14.260876,13.9889965,12.9308415,14.609473
"IFIH1",13.592413,14.219934,12.821033,13.713242,12.138706,13.251174,13.351326,13.4193125,13.398148,13.601116,12.821033,13.886355,16.496367,14.130524,13.739213,13.7808485,12.905975,13.146168,12.097512,12.41717,12.389697,12.716201,11.6675,13.115995,12.023877,11.449919,12.3776455,12.981405,12.2109,12.438401,12.785874,16.202993,12.702779,12.236785,11.6521225,12.266908
"NTM",6.0539055,6.537407,8.917851,6.1846414,7.311162,7.149546,6.9868007,8.0177555,9.355856,9.799824,7.8294,7.478729,5.322396,6.998152,5.621845,9.524806,9.392556,7.6192865,5.96391,6.116629,6.181827,6.058611,6.730581,6.7098927,6.356643,7.9446716,7.638308,6.51521,5.650967,5.006604,6.6650724,7.6214876,4.454686,5.5484676,6.197099,6.2119756
"MIA",11.143437,9.827685,10.4423275,10.22713,11.538571,12.272592,11.531742,8.929237,9.285248,10.842343,9.389884,9.890141,9.508624,11.428662,13.92298,12.020481,10.612058,10.313266,10.873479,12.207995,13.248383,13.416039,13.211342,10.687812,12.325211,12.669588,11.850181,10.704637,12.476589,11.721876,11.063913,13.277505,12.289495,12.644173,9.079735,12.94247
"SYTL4",6.5891557,9.050904,6.8284945,7.0145206,6.4652376,7.6999245,7.888013,7.9028134,11.92899,6.9143987,7.30506,7.607715,2.7845528,6.7911725,5.930234,8.436385,7.1763535,7.6228266,8.365176,8.860434,9.143332,8.891995,9.239675,7.9458656,8.393685,10.106978,9.056951,8.707272,8.505121,8.54111,8.459193,9.23323,8.435534,8.93255,7.3214765,8.911434
"CLEC4D",8.318363,6.2360787,6.231441,9.357692,8.489276,8.702474,9.104661,7.6808915,8.275342,4.04752,7.091681,8.583385,13.744857,9.0437765,7.68286,9.58416,10.4991865,8.071146,7.467403,6.9708652,5.6923537,6.2056885,5.4651427,8.364201,7.3118353,5.377734,5.9313207,7.5754824,5.590866,5.6555185,5.2425804,9.362308,8.813368,5.4198546,5.6602025,6.161227
"TMEM125",11.193574,11.896154,11.88171,10.798385,10.363241,11.346797,12.07824,9.142403,10.758424,12.364333,13.079457,11.160918,7.2991366,10.152869,10.186703,12.084612,10.837313,12.073477,11.601408,12.200986,12.918355,12.054921,13.137408,10.0952835,11.22605,13.251975,12.434832,12.224651,11.570897,11.858762,11.644844,13.522405,12.218198,12.914438,12.735971,12.728703
"LOXL2",10.021613,9.969147,11.86343,10.673686,11.352971,12.184957,10.14262,11.615188,13.57762,13.602103,11.579764,10.918265,9.952064,10.166699,11.175478,13.398148,13.120361,11.812064,9.945699,10.342356,9.763615,10.461849,10.996666,12.218567,10.67582,10.033502,9.844245,10.273477,9.972423,10.621313,10.439239,10.92351,10.320634,9.922603,11.1209,9.958894
"CDC25C",9.444199,10.239113,10.022447,9.931987,8.211216,8.22976,9.536469,9.181891,9.212402,9.887884,10.029202,9.557115,7.3935614,8.389487,10.32436,9.728366,9.828381,8.400284,8.256127,8.276321,7.391769,8.595956,7.624146,10.053243,9.339681,3.34636,8.800753,8.294228,8.017387,8.967087,8.004867,6.2141476,7.282399,7.696583,10.008262,7.8882294
"DGKG",6.0196066,4.3067822,4.916551,6.5754895,5.5964866,6.1025596,5.9842515,6.0662427,7.183178,4.221825,5.4789863,5.7300334,8.913444,5.8757977,6.5399632,5.9569426,5.6025443,5.4426208,6.359381,6.6832523,6.3989954,7.3529763,6.6980925,7.305615,7.5864053,9.105118,6.2398233,6.627664,6.5740457,7.6306915,6.073731,7.58928,6.775106,6.166622,10.023805,5.8535576
"LAMP3",15.044381,15.681667,15.71412,14.279671,13.153128,14.780798,14.018442,14.781674,14.068345,12.757181,13.418892,14.229707,16.522541,14.599539,14.24783,14.577556,14.6741705,13.597882,13.725119,13.3948345,13.732144,13.233664,13.495302,13.314422,13.273754,11.104514,12.986145,14.003244,13.688987,13.172931,13.026563,15.911888,14.342766,13.982377,12.411804,13.198004
"GPR87",11.366812,13.086406,12.24804,11.052918,12.706019,11.7027855,13.741482,11.771718,11.486526,8.467323,8.7396755,11.106786,6.6360884,11.77831,11.4835825,12.556472,11.343717,9.291983,9.418694,10.109539,9.589305,9.695784,9.895254,9.736756,8.536569,7.8641505,10.483916,10.284924,9.905081,9.991014,10.678554,10.692495,9.972123,9.854942,7.185232,9.227612
"NEK2",8.88718125,10.0616595,8.64956985,9.00882565,8.38994435,8.779585,10.4138125,8.85157365,8.09153115,9.27582375,10.40457275,9.631536,7.44586165,7.97641535,9.7990575,9.3430965,8.66893565,8.52174575,7.77840325,8.3772105,7.53917915,8.2320568,7.811672,9.533447,8.873838,4.42906305,9.0647445,8.3614992,7.78421725,8.5226407,8.03187785,5.71458535,7.3887782,7.9793575,9.3390495,7.26376675
"FCER1A",5.7117534,7.615982,11.4580965,6.9583,8.076624,8.399757,9.370915,11.395248,11.938654,6.1570005,8.3730545,8.589324,9.187142,8.49847,12.054721,8.612412,9.244567,8.932091,9.281523,11.306017,10.288507,11.0287285,12.405771,10.631837,10.101746,10.760686,9.969147,9.979007,11.730064,9.558017,10.736542,10.318489,10.530931,11.360641,7.798724,11.350232
"PYGM",8.55269365,7.8898202,7.3623615,8.2156165,7.4273885,7.806435,7.35479,8.54405715,7.5109085,7.9732455,8.1472635,7.861023,8.1417508,8.59055225,7.4817255,7.0666416,7.84960315,8.0257035,9.1037945,8.6580112,8.993655,9.4630335,9.77157275,8.9607355,9.27708,17.6913035,9.250104,8.53359715,8.65887175,8.8450142,9.4726865,9.052136,9.0044105,9.046873,8.1723065,8.7632485
